wgt,gender,age,ed_lvl,income_q,employed,rural,account,savings,loans,mobile,internet,wages_2,wages_3,wages_4,transfers_2,transfers_3,transfers_4,pension_2,pension_3,pension_4,agri_sale_2,agri_sale_3,agri_sale_4,utilities_2,utilities_3,utilities_4,remittances_2,remittances_3,remittances_4
0.86,0,0.4918032786885246,0.0,0.0,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
0.8,1,0.09836065573770489,1.0,0.0,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
0.32,1,0.6721311475409836,0.5,0.25,1,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
0.8,0,0.44262295081967207,0.0,0.25,1,0,1,1,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
1.33,0,0.44262295081967207,0.0,0.75,1,1,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.45,1,0.4918032786885246,0.5,1.0,0,0,1,1,1,0,1,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True
1.46,1,0.0819672131147541,0.5,0.5,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False
0.22,0,0.16393442622950818,1.0,0.75,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
0.41,1,0.09836065573770489,0.5,1.0,0,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
1.52,1,0.360655737704918,0.5,1.0,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.45,1,0.3278688524590164,0.5,0.5,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
1.02,1,0.22950819672131148,1.0,1.0,0,1,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.58,1,0.360655737704918,0.5,0.5,0,1,0,1,1,0,0,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False
0.66,1,0.06557377049180327,0.5,0.75,1,1,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
1.56,0,0.18032786885245902,0.0,1.0,0,1,1,1,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.33,1,0.2786885245901639,0.5,0.5,0,0,1,0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
0.61,0,0.34426229508196715,1.0,1.0,0,1,1,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.62,0,0.4918032786885246,0.0,0.25,0,0,1,0,1,1,1,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True
2.42,0,0.47540983606557374,0.5,1.0,0,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
1.43,0,0.7377049180327869,0.0,0.75,0,0,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
0.7,0,0.16393442622950818,1.0,0.25,0,0,1,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
0.94,1,0.4098360655737705,0.0,0.75,0,1,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.48,1,0.4098360655737705,0.5,0.5,0,1,1,0,0,1,1,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
0.22,1,0.11475409836065573,0.5,1.0,0,1,0,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
0.87,1,0.6557377049180327,0.0,0.0,1,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
0.22,1,0.09836065573770489,0.5,0.75,0,0,1,0,1,0,1,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.22,1,0.3770491803278688,0.5,0.75,0,0,1,0,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
