wgt,gender,ed_lvl,income_q,employed,rural,account,savings,loans,mobile,internet,wages_2,wages_3,wages_4,transfers_2,transfers_3,transfers_4,pension_2,pension_3,pension_4,agri_sale_2,agri_sale_3,agri_sale_4,utilities_2,utilities_3,utilities_4,remittances_2,remittances_3,remittances_4,age_sqrt
0.55,1,3,5,0,1,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.795831523312719
1.61,1,1,2,0,0,1,1,1,0,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,6.324555320336759
0.92,1,1,2,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.54983443527075
0.34,1,2,5,0,1,0,1,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.0710678118654755
0.34,1,2,5,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.0710678118654755
0.63,1,2,1,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,4.795831523312719
2.42,1,2,2,0,0,1,0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7.745966692414834
0.81,0,1,4,1,0,1,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,7.416198487095663
0.41,1,2,4,1,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,4.898979485566356
0.38,1,3,4,0,0,1,0,1,0,0,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.0990195135927845
0.78,1,3,4,1,1,1,1,1,0,0,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,6.48074069840786
1.91,0,1,5,0,1,1,0,1,1,1,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,6.48074069840786
0.9,0,1,2,1,0,0,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.477225575051661
2.01,0,1,3,1,0,0,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,4.358898943540674
1.56,1,1,4,0,1,1,1,1,0,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,5.385164807134504
0.49,0,1,3,1,0,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.708203932499369
0.65,0,1,3,0,1,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,6.782329983125268
0.9,1,2,2,0,0,1,1,0,0,0,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,4.69041575982343
0.27,1,2,3,1,0,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.0710678118654755
