wgt,gender,age,ed_lvl,income_q,employed,rural,account,savings,loans,wages,transfers,pension,agri_sale,utilities,remittances,mobile,internet
2.42,1,18,1,4,2,1,0,0,0,4,4,4,4,4,5,1,2
0.68,1,25,2,2,1,1,1,0,0,4,4,4,4,4,5,1,2
1.08,2,34,1,1,1,1,1,0,0,4,4,4,4,4,5,1,2
0.34,1,25,2,5,2,1,0,0,0,4,4,4,4,4,5,1,2
1.09,2,40,1,1,2,1,1,0,0,4,4,1,4,4,5,1,2
0.87,2,60,1,3,2,1,1,1,1,4,4,4,4,4,4,1,2
2.13,2,45,1,4,2,2,1,0,0,4,2,4,4,4,5,1,1
0.75,1,24,1,3,1,2,1,0,0,4,4,4,4,4,4,1,2
1.46,1,24,1,1,2,1,1,0,0,4,4,4,4,4,5,2,2
1.64,2,40,1,1,1,1,1,0,0,2,4,4,4,4,5,1,2
0.43,2,20,2,4,2,1,1,1,0,4,1,4,4,1,5,1,1
1.17,1,23,1,4,2,2,1,1,1,3,4,4,4,2,5,1,1
1.06,1,56,1,5,2,2,0,0,1,4,3,4,4,4,5,1,2
0.94,1,38,1,3,1,1,1,0,1,4,4,4,2,4,4,2,2
1.1,2,24,1,5,1,2,0,0,1,4,4,4,4,4,5,1,2
0.87,2,35,1,4,2,2,1,0,0,4,4,4,4,4,5,2,2
0.22,2,32,3,4,1,2,0,0,1,4,4,4,4,4,5,1,2
2.29,2,43,1,1,1,1,1,0,0,4,4,4,4,4,5,1,2
1.53,1,36,1,2,1,1,1,0,0,4,4,4,4,4,5,1,2
0.79,2,19,2,5,1,1,0,0,0,4,4,4,4,4,3,1,2
1.49,2,51,1,3,1,2,1,1,1,2,4,4,4,1,4,2,2
1.0,2,65,1,1,1,2,1,1,0,3,4,2,4,4,5,2,2
2.42,1,62,1,2,2,1,1,0,1,4,4,4,4,2,3,2,2
1.05,2,65,1,4,1,1,1,0,0,4,4,4,4,4,5,1,2
0.52,1,28,2,1,2,1,0,0,0,4,4,4,4,2,5,2,2
2.14,1,70,1,1,2,2,1,0,0,4,4,1,4,1,5,1,2
0.34,2,50,2,4,2,1,1,0,0,4,4,4,4,4,5,1,1
0.61,2,39,1,2,2,2,0,0,0,4,4,4,4,4,5,1,2
1.82,2,60,1,1,1,1,0,0,0,4,4,4,4,4,5,1,2
2.06,1,40,1,3,1,1,1,0,1,3,4,4,4,3,5,2,2
2.0,1,25,1,3,2,1,1,0,1,4,4,4,4,4,5,1,2
0.58,1,40,2,1,2,1,1,0,0,4,4,4,4,4,5,1,2
0.62,1,25,2,3,2,2,1,0,0,4,4,4,4,4,5,1,2
1.34,2,16,1,3,1,2,1,1,0,4,4,4,4,4,5,1,1
0.78,1,18,2,1,2,1,1,0,0,4,4,4,4,4,5,1,2
1.28,1,25,1,1,2,1,1,0,1,4,4,4,4,1,5,2,2
1.19,2,60,1,4,1,1,1,1,0,4,4,4,4,2,5,1,2
1.39,2,20,1,1,1,1,1,0,1,4,4,4,4,4,5,1,1
0.74,2,39,2,1,1,2,1,0,1,3,1,4,4,4,1,1,2
0.41,2,45,2,5,1,2,1,0,0,4,4,4,4,4,5,1,2
2.42,2,18,1,3,1,2,1,0,0,4,4,4,4,4,5,2,2
