wgt,gender,ed_lvl,income_q,employed,rural,account,savings,loans,wages,transfers,pension,agri_sale,utilities,remittances,mobile,internet,age_sqrt
1.32,1,0.0,0.75,0,1,1,0,1,1,1,1,1,1,0,0,0,0.7313417492032841
0.23,1,0.5,0.0,1,0,1,1,1,1,1,1,0,1,0,0,1,0.38630566444613734
2.42,0,0.0,0.25,1,1,1,0,1,1,1,1,1,1,1,1,1,0.2731103668336776
0.54,0,0.5,0.25,1,1,0,0,0,1,1,1,1,0,1,1,1,0.33112562210789265
1.6,1,0.0,0.5,0,0,1,1,0,1,1,1,1,1,1,0,0,0.07629958542132087
0.73,1,0.0,0.5,0,0,1,0,0,1,1,1,1,1,1,1,1,0.34981339374796616
0.94,1,0.5,0.75,1,0,0,0,1,1,1,1,1,0,0,0,1,0.12366884299436665
0.76,0,0.0,0.25,0,0,1,0,1,1,1,1,0,1,1,0,1,0.43902953061416916
1.16,1,0.0,0.0,0,0,1,1,1,0,0,1,0,0,1,0,1,0.5852072483626012
0.49,0,0.0,0.5,1,1,1,0,0,1,1,1,1,1,1,1,1,0.6746274918803921
0.38,1,0.5,1.0,0,1,1,1,1,1,1,1,1,0,1,0,0,0.12366884299436665
0.73,0,0.0,0.75,1,1,1,0,1,0,1,1,0,0,1,0,1,0.6306164783589376
1.76,0,0.0,0.25,1,0,1,0,1,1,1,1,1,1,1,0,1,0.25306152733850773
0.63,1,0.0,0.25,0,0,1,0,0,1,1,1,1,1,1,0,1,0.6890086661848598
0.87,0,0.0,0.25,0,0,1,0,0,0,1,1,1,1,1,0,0,0.33112562210789265
0.93,0,0.0,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.2731103668336776
0.99,0,0.0,0.25,1,0,1,0,0,1,1,1,1,1,0,0,0,0.1904816313028227
0.86,0,0.0,1.0,0,0,1,0,1,0,1,1,1,0,0,0,1,0.5852072483626012
2.11,0,0.0,0.5,1,1,0,0,0,1,1,1,1,1,1,0,1,0.14646429553945794
0.61,1,0.5,1.0,0,1,1,1,0,0,1,1,1,1,0,0,0,0.569736201709276
0.38,1,0.5,0.5,0,0,1,1,1,1,1,1,1,0,0,0,0,0.12366884299436665
0.36,0,0.5,0.5,0,0,1,1,1,1,1,1,1,1,1,1,1,0.36820210314246227
0.84,0,0.0,0.25,0,0,0,0,0,1,1,1,1,1,1,0,1,0.42170787336756455
1.1,0,0.0,0.0,0,0,1,0,1,0,1,1,1,1,1,1,1,0.12366884299436665
1.08,1,0.0,0.5,1,1,1,0,0,1,1,1,1,0,1,0,1,0.4041369452058934
0.92,0,0.0,0.75,0,0,1,0,1,1,0,1,0,1,1,0,0,0.5060197771135149
0.61,1,0.5,0.75,0,1,1,1,1,0,1,1,1,1,0,0,0,0.48959864865397007
0.86,0,0.0,0.0,0,0,1,1,1,1,1,1,0,1,1,0,0,0.5852072483626012
0.8,1,1.0,0.0,0,0,1,0,0,1,1,1,1,0,0,0,0,0.14646429553945794
0.32,1,0.5,0.25,1,0,1,0,0,1,1,1,1,0,1,0,1,0.7451949701854257
0.8,0,0.0,0.25,1,0,1,1,0,1,1,1,1,0,1,1,1,0.5382574152632154
1.33,0,0.0,0.75,1,1,1,0,0,1,1,1,1,1,1,1,1,0.5382574152632154
0.45,1,0.5,1.0,0,0,1,1,1,1,0,1,1,0,1,0,1,0.5852072483626012
1.46,1,0.5,0.5,0,0,1,1,0,1,1,1,1,1,0,0,0,0.12366884299436665
0.22,0,1.0,0.75,0,0,1,1,0,1,1,1,1,0,0,0,0,0.2326232808881239
0.41,1,0.5,1.0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.14646429553945794
1.52,1,0.5,1.0,0,0,1,1,0,1,1,1,1,1,1,0,0,0.45611223411086277
0.45,1,0.5,0.5,0,0,1,1,1,1,1,1,1,0,0,0,0,0.42170787336756455
1.02,1,1.0,1.0,0,1,1,1,0,1,1,1,1,1,1,0,0,0.3121237042552123
0.58,1,0.5,0.5,0,1,0,1,1,0,1,1,1,0,0,0,0,0.45611223411086277
0.66,1,0.5,0.75,1,1,1,0,0,1,1,1,1,1,1,0,1,0.10029601612894867
1.56,0,0.0,1.0,0,1,1,1,1,1,1,1,1,1,1,0,1,0.25306152733850773
0.33,1,0.5,0.5,0,0,1,0,1,0,0,1,1,1,1,0,0,0.36820210314246227
0.61,0,1.0,1.0,0,1,1,0,0,0,1,1,1,1,0,0,0,0.43902953061416916
0.62,0,0.0,0.25,0,0,1,0,1,0,1,1,0,1,1,1,1,0.5852072483626012
2.42,0,0.5,1.0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.569736201709276
1.43,0,0.0,0.75,0,0,1,0,1,1,1,1,1,0,1,1,1,0.7994079677421027
0.7,0,1.0,0.25,0,0,1,0,1,1,0,1,1,0,1,0,0,0.2326232808881239
0.94,1,0.0,0.75,0,1,0,0,0,1,1,1,1,1,1,0,1,0.5060197771135149
0.48,1,0.5,0.5,0,1,1,0,0,0,1,1,1,0,1,1,1,0.5060197771135149
0.22,1,0.5,1.0,0,1,0,1,1,1,1,1,1,0,1,0,0,0.1687231588989907
0.87,1,0.0,0.0,1,0,1,0,1,1,1,1,1,0,1,0,1,0.7313417492032841
0.22,1,0.5,0.75,0,0,1,0,1,0,1,1,1,1,1,0,1,0.14646429553945794
0.22,1,0.5,0.75,0,0,1,0,1,1,1,1,1,1,1,0,0,0.47296560836944224
0.22,1,0.5,0.75,1,0,1,1,1,1,1,1,1,0,1,0,0,0.1687231588989907
0.96,1,0.5,0.75,0,1,1,0,0,0,1,1,1,1,1,0,0,0.7313417492032841
1.15,0,0.5,0.0,1,0,1,0,0,1,0,1,1,1,1,1,1,0.0
1.19,1,0.5,1.0,1,1,1,1,0,1,1,1,1,0,1,0,0,0.10029601612894867
0.95,1,0.5,1.0,0,1,1,1,0,0,1,1,1,1,1,0,0,0.6890086661848598
1.53,1,0.0,0.25,0,0,0,0,0,1,1,1,1,1,1,0,1,0.14646429553945794
0.22,1,1.0,1.0,1,0,0,0,0,1,1,1,1,1,1,0,1,0.6306164783589376
0.53,1,0.5,1.0,0,0,1,0,0,0,1,1,1,1,0,0,0,0.4041369452058934
0.83,1,0.0,1.0,0,1,1,0,0,1,1,1,1,1,1,0,0,0.2326232808881239
0.73,1,0.0,0.5,1,0,1,0,1,1,0,0,1,1,1,0,1,0.29279124390711675
0.94,0,0.0,0.75,1,0,1,0,0,1,0,1,1,0,1,1,1,0.5852072483626012
0.55,0,0.5,0.75,1,0,0,0,0,1,1,1,1,1,1,1,1,0.6746274918803921
0.78,1,0.5,0.5,0,1,1,1,0,1,1,1,1,0,1,0,1,0.36820210314246227
0.22,1,0.5,0.75,0,0,1,0,1,1,1,1,1,1,1,0,1,0.2326232808881239
0.23,1,0.5,0.25,1,0,1,0,0,0,1,1,1,1,1,0,1,0.3121237042552123
0.22,1,0.5,0.75,0,0,0,0,0,1,1,1,1,1,1,1,1,0.07629958542132087
0.63,1,0.5,1.0,1,0,1,1,1,1,1,1,1,1,0,0,0,0.4041369452058934
1.3,1,0.0,0.75,1,0,1,0,1,1,1,0,1,0,1,0,1,0.8126763772858505
1.31,0,0.5,1.0,1,0,1,1,1,1,1,1,1,1,0,1,1,0.12366884299436665
0.93,1,0.0,0.5,0,0,1,0,1,0,0,1,1,0,1,0,1,0.6454357803402144
0.99,1,0.0,0.5,0,0,1,0,1,1,1,1,1,0,1,0,0,0.3121237042552123
0.95,0,0.5,0.75,0,0,1,1,1,1,1,1,1,0,1,0,0,0.29279124390711675
1.15,0,0.0,0.0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.47296560836944224
1.13,1,0.5,0.0,1,0,0,0,0,1,1,1,1,1,1,1,1,0.05162680166599842
0.92,0,0.0,1.0,1,1,1,0,0,1,1,1,1,1,1,0,0,0.2326232808881239
2.13,0,0.0,1.0,0,0,1,1,1,0,1,0,0,0,0,1,1,0.5060197771135149
0.44,0,1.0,0.0,0,1,1,0,1,1,1,1,1,0,1,0,1,0.21177201535847945
2.42,1,0.0,0.25,1,0,1,0,0,1,1,0,1,1,1,1,1,0.9275106159838182
0.96,1,0.5,1.0,0,1,1,1,0,0,1,1,1,1,0,0,0,0.1687231588989907
0.72,1,0.0,0.5,1,0,1,0,1,1,1,1,1,0,1,0,0,0.33112562210789265
1.25,1,0.0,0.5,0,0,0,0,0,1,1,1,1,1,1,0,1,0.1904816313028227
1.69,1,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,0,0,0.0
1.08,0,0.0,0.0,0,0,1,0,1,1,0,1,1,1,1,1,1,0.47296560836944224
1.57,1,0.5,0.75,1,1,1,0,0,1,1,1,1,1,1,0,0,0.1904816313028227
1.27,0,0.0,0.0,1,1,1,0,1,1,0,1,1,1,0,1,1,0.7313417492032841
0.7,1,0.5,0.5,0,0,1,1,0,1,0,1,0,0,1,1,1,0.8258364678460262
0.69,0,0.0,0.5,1,0,1,0,1,1,0,1,1,1,0,0,1,0.1904816313028227
1.52,0,0.5,0.75,1,1,1,1,0,1,1,1,1,1,1,0,1,0.02621703116207852
